convName,convUuid,cluster,distanceToCentroid,turnCount,estimatedTokens,mostRecentDate
"UI Module Architecture Migration",da909909-8a98-48ee-a384-d1771a482681,0,0.1578,8,8623,2025-09-11T21:14:23.818
"Code Style Module Rewrite",115a4e1b-b88a-4e1f-9b0e-d7b196b3a062,0,0.1646,7,5720,2025-08-17T20:27:42.010
"UI scrolling and recording bugs",fa4d47d6-3e57-4992-a83a-602fb32b2d60,0,0.1702,11,6606,2025-10-02T11:41:19.310
"AI Project Infrastructure Development",cfe2850f-d2dd-4cfc-9cf1-017d13c453c4,9,0.1366,3,3228,2025-08-09T07:45:30.760
"AI-Powered Digital Twin Interface",7ef30faf-d027-4011-8443-b0043e3c7f7d,9,0.1439,13,11696,2025-09-06T11:36:54.545
"Context-Aware AI Infrastructure Development",0fdc971f-f125-49e7-a503-bdb76b3ece93,9,0.1563,3,2549,2025-08-07T13:03:51.267
"bring these previous reviews i...",6b751b04-d969-4fa1-ad94-461a332afcbd,2,0.2066,3,3299,2025-10-29T15:44:49.653
"Web Scraping School District Superintendents",5b9a50d3-2849-40bb-9baf-a6fa4d0b7ef7,2,0.2092,5,6590,2025-08-11T15:46:27.157
"Python test script environment error",79fbe66c-559e-4382-9b64-31106a251f34,2,0.2134,3,1370,2025-10-21T09:12:34.335
"Homemade snacks for picky eaters",69c9276d-8205-45ec-b9c3-3a9744f8530d,5,0.2000,8,6184,2026-01-07T18:20:02.455
"Instant Pot mac and cheese troubleshooting",83ee55a0-1b39-40cb-a724-b8ea2dec4d91,5,0.2143,8,1586,2026-01-19T19:21:45.511
"Freezable Breakfast Ideas for Kids",38cee245-101b-416a-a385-af953fa00c45,5,0.2566,4,2952,2024-10-09T10:07:24.894
"Update Healthcare Cost Comparison Tool",6e72397b-dbc2-4741-80f2-ea1edb39e6a1,6,0.2081,12,5451,2024-10-30T12:39:59.067
"Analyzing Work Hours vs. Living Expenses",b157eaac-3d85-4bfc-8c3f-bed428796ba4,6,0.2220,7,3059,2024-12-14T18:06:55.819
"Compare 2024 Healthcare Plan Costs",ef69e201-8b87-4939-a8dc-33f15870ba74,6,0.2255,4,1528,2024-11-08T12:31:07.978
"Comprehensive Project Summary Document",01505af5-b35d-4774-95b2-4f6cd5a4cdf5,4,0.1853,5,6393,2025-05-27T11:03:41.409
"Summary Document Request",c4242b83-6f7c-466d-84ac-ba0fd1db7ba2,4,0.1903,4,494,2025-01-22T12:47:43.902
"Documentation consolidation strategy",c67e730b-d9f7-4550-a4d1-4c0241f7ae1c,4,0.1997,3,750,2025-09-15T17:44:29.011
"Approaches to Building a Micro Society",4242ff99-d688-4bd2-a413-65517392f336,7,0.1369,4,7104,2025-04-09T08:14:01.914
"Documenting a Micro Society System",f640b6d3-d1b2-4e00-9fc7-68b8ba47ccde,7,0.1388,6,6669,2025-01-02T16:19:15.129
"Micro Society Economic Model: Balancing Interests and Labor",53891123-c1f7-455c-8c0f-881e3eecb93e,7,0.1400,7,4603,2025-01-21T21:15:18.647
"Optimizing for relief instead of their development",7a10bb11-6539-4982-8b4b-46ab78475ace,8,0.1311,6,2369,2025-12-09T17:11:16.580
"Balancing Family Expectations and Independence",02c58019-a233-40a3-a789-4644d690c78d,8,0.1636,8,10406,2025-01-04T15:01:39.976
"Exploring Societal Challenges and Personal Reflections",371f0a0b-81c8-483d-84c2-aa29516daba8,8,0.1707,3,4502,2025-02-05T00:56:31.626
"Fleshing Out a Backyard Food Forest Plan",ec3d2745-4be7-4a90-9746-b276ce6feac7,3,0.1479,6,8067,2025-04-12T11:55:30.256
"Regenerative Farming Microclimate Design",e48f70db-340c-4d05-a909-ef3bf6de871e,3,0.1576,10,15600,2025-02-10T22:14:46.959
"Turning Backyard into Forest Garden",dc128631-11a8-420f-a63b-71175634a96c,3,0.1619,11,14512,2025-04-08T22:09:56.178
"Development Phases Strategy",757ad8ed-8ebd-4431-862e-34ddc91a7da0,1,0.1333,6,3278,2025-06-27T15:32:51.185
"Voice AI Desktop Assistant Development",ccc88149-c395-4953-ae5a-9d47b8e4e8d1,1,0.1504,11,5351,2025-07-07T11:11:11.565
"Voice chat app feature updates",cb108cb9-ae5c-4144-b927-ef588e58b655,1,0.1536,6,3398,2025-09-16T09:54:57.894
